,ParentAirline,Airline,AircraftType,Current,Future,Historic,Total,Orders,UnitCost,TotalCost(Current),AverageAge,Region
0,Aegean Airlines,Aegean Airlines,Airbus A319,1.0,,3.0,4.0,,$90,$90,11.6, Europe
1,Aegean Airlines,Olympic Air,Airbus A319,,,8.0,8.0,,$90,$0,, Europe
2,Aegean Airlines,Aegean Airlines,Airbus A320,38.0,,3.0,41.0,,$98,"$3,724",7.5, Europe
3,Aegean Airlines,Olympic Air,Airbus A320,,,9.0,9.0,,$98,$0,, Europe
4,Aegean Airlines,Aegean Airlines,Airbus A321,8.0,,,8.0,,$115,$919,10.3, Europe
5,Aegean Airlines,Olympic Air,ATR 42/72,2.0,,,2.0,,$22,$44,2.4, Europe
6,Aegean Airlines,Aegean Airlines,ATR 42/72,,,6.0,6.0,,$22,$0,, Europe
7,Aegean Airlines,Aegean Airlines,Boeing 737,,,17.0,17.0,,$74,$0,, Europe
8,Aegean Airlines,Aegean Airlines,British Aerospace BAe 146/Avro RJ,,,6.0,6.0,,$14,$0,, Europe
9,Aegean Airlines,Olympic Air,De Havilland Canada DHC-8 Dash 8,12.0,,7.0,19.0,,$31,$376,12.6, Europe
10,Aeroflot,Aeroflot,Airbus A310,,,14.0,14.0,,$75,$0,, Europe
11,Aeroflot,Rossiya Airlines,Airbus A319,26.0,,5.0,31.0,,$90,"$2,330",12.7, Europe
12,Aeroflot,Aeroflot,Airbus A319,,,15.0,15.0,,$90,$0,, Europe
13,Aeroflot,Aurora Airlines,Airbus A319,10.0,,,10.0,,$90,$896,11.0, Europe
14,Aeroflot,Aeroflot,Airbus A320,71.0,1.0,3.0,75.0,11.0,$98,"$6,958",5.7, Europe
15,Aeroflot,Rossiya Airlines,Airbus A320,5.0,,8.0,13.0,,$98,$490,15.2, Europe
16,Aeroflot,Aeroflot,Airbus A321,31.0,,8.0,39.0,9.0,$115,"$3,562",3.6, Europe
17,Aeroflot,Aeroflot,Airbus A330,22.0,,,22.0,,$240,"$5,280",5.9, Europe
18,Aeroflot,Aeroflot,Airbus A350,,,,,22.0,$312,$0,, Europe
19,Aeroflot,Aeroflot,Antonov An-124,,,3.0,3.0,,$75,$0,, Europe
20,Aeroflot,Rossiya Airlines,Antonov An-124,,,2.0,2.0,,$75,$0,, Europe
21,Aeroflot,Rossiya Airlines,Antonov An-148/An-158,,,6.0,6.0,,$28,$0,, Europe
22,Aeroflot,Aeroflot,Boeing 737,20.0,1.0,16.0,37.0,26.0,$74,"$1,480",1.6, Europe
23,Aeroflot,Pobeda,Boeing 737,12.0,,,12.0,,$74,$888,2.1, Europe
24,Aeroflot,Rossiya Airlines,Boeing 737,17.0,1.0,5.0,23.0,,$74,"$1,258",9.6, Europe
25,Aeroflot,Aurora Airlines,Boeing 737,,,5.0,5.0,,$74,$0,, Europe
26,Aeroflot,Rossiya Airlines,Boeing 747,7.0,2.0,,9.0,2.0,$316,"$2,211",16.7, Europe
27,Aeroflot,Aeroflot,Boeing 767,,,13.0,13.0,,$187,$0,, Europe
28,Aeroflot,Rossiya Airlines,Boeing 767,,,3.0,3.0,,$187,$0,, Europe
29,Aeroflot,Aeroflot,Boeing 777,15.0,,2.0,17.0,1.0,$295,"$4,418",2.5, Europe
30,Aeroflot,Rossiya Airlines,Boeing 777,6.0,5.0,1.0,12.0,5.0,$295,"$1,767",17.7, Europe
31,Aeroflot,Aeroflot,Boeing 787,,,,,22.0,$265,$0,, Europe
32,Aeroflot,Aurora Airlines,De Havilland Canada DHC-8 Dash 8,8.0,2.0,1.0,12.0,,$31,$250,14.8, Europe
33,Aeroflot,Rossiya Airlines,Ilyushin Il-62,,,1.0,1.0,,$45,$0,, Europe
34,Aeroflot,Aeroflot,Ilyushin Il-96,,,10.0,10.0,,$45,$0,, Europe
35,Aeroflot,Rossiya Airlines,Ilyushin Il-96,,,5.0,5.0,,$45,$0,, Europe
36,Aeroflot,Aeroflot,Irkut MC-21,,,,,50.0,$82,$0,, Europe
37,Aeroflot,Aeroflot,McDonnell Douglas DC-10,,,3.0,3.0,,$145,$0,, Europe
38,Aeroflot,Aeroflot,McDonnell Douglas MD-11,,,3.0,3.0,,$175,$0,, Europe
39,Aeroflot,Rossiya Airlines,Sukhoi Superjet 100,,,,,20.0,$28,$0,, Europe
40,Aeroflot,Aeroflot,Sukhoi Superjet 100,30.0,,10.0,40.0,20.0,$28,$825,2.2, Europe
41,Aeroflot,Aeroflot,Tupolev Tu-134,,,1.0,1.0,,$16,$0,, Europe
42,Aeroflot,Rossiya Airlines,Tupolev Tu-154,,,1.0,1.0,,$16,$0,, Europe
43,Aeroflot,Aeroflot,Tupolev Tu-204,,,3.0,3.0,,$16,$0,, Europe
44,Aeroflot,Rossiya Airlines,Tupolev Tu-204,,,2.0,2.0,,$16,$0,, Europe
45,Aeroflot,Rossiya Airlines,Tupolev Tu-214,,,3.0,3.0,,$16,$0,, Europe
46,Aeroflot,Aurora Airlines,Viking Air DHC 6-400 Twin Otter,2.0,,,,,$7,$13,, Europe
47,Aeroflot,Aeroflot,Yakovlev Yak-42,,,1.0,1.0,,,$0,, Europe
48,Aerolineas Argentinas,Aerolineas Argentinas,Airbus A310,,,5.0,5.0,,$75,$0,, South America
49,Aerolineas Argentinas,Aerolineas Argentinas,Airbus A320,,,2.0,2.0,,$98,$0,, South America
50,Aerolineas Argentinas,Aerolineas Argentinas,Airbus A330,9.0,1.0,,10.0,,$240,"$2,160",9.3, South America
51,Aerolineas Argentinas,Aerolineas Argentinas,Airbus A340,5.0,,8.0,13.0,,$216,"$1,078",19.3, South America
